# Codepoint	Character	Name	SVG file	CSS class
U+E9A0		Processing	Processing.svg	processing-icon
U+EADC		Progress	Progress.svg	progress-icon
U+E9C0		Progress, Old	Progress-Old.svg	
U+E9B5		Propeller	Propeller.svg	propeller-icon
U+EAAD		PROS	PROS.svg	pros-icon
U+EA6D		Proselint	Proselint.svg	proselint-icon
U+E9DE		Protractor	Protractor.svg	protractor-icon
U+EA13		Pug	Pug.svg	pug-icon
U+E9D0		Pug, Alt	Pug-Old.svg	pug-alt-icon
U+293E	⤾	PullApprove	PullApprove.svg	pullapprove-icon
U+F0C3		Puppet	Puppet.svg	puppet-icon
U+1F4A7	💧	Pure	Pure.svg	pure-icon
U+01B5	Ƶ	PureBasic	PureBasic.svg	purebasic-icon
U+E9B2		PureScript	PureScript.svg	purescript-icon
U+EA94		PyPi	PyPi.svg	pypi-icon
U+2620	☠	Pyret	Pyret.svg	pyret-icon
U+EBA6		pytest	pytest.svg	pytest-icon
U+EB26		PyUp	PyUp.svg	pyup-icon
U+EB91		Q#	Q#.svg	qsharp-icon
U+EB81		Qiskit	Qiskit.svg	qiskit-icon
U+1F50D	🔍	QlikView	QlikView.svg	qlik-icon
U+EB00		QT	QT.svg	qt-icon
U+EACC		Quasar	Quasar.svg	quasar-icon
U+E905		R	R.svg	r-icon
U+EB49		R database	RData.svg	rdata-icon
U+E9B1		Racket	Racket.svg	racket-icon
U+E913		RAML	RAML.svg	raml-icon
U+EA24		Rascal	Rascal.svg	rascal-icon
U+0052	R	Razzle	Razzle.svg	razzle-icon
U+E9B0		RDoc	RDoc.svg	rdoc-icon
U+EAF7		ReactOS	ReactOS.svg	
U+2398	⎘	Read the Docs	ReadTheDocs.svg	readthedocs-icon
U+E9AF		REALbasic	REALbasic.svg	xojo-icon
U+EA1D		Reason	Reason.svg	reason-icon
U+EB44		Reason Studios	ReasonStudios.svg	reasonstudios-icon
U+EB45		Reason Studios, Alt	ReasonStudios-Alt.svg	
U+E9AE		Rebol	Rebol.svg	rebol-icon
U+EAEC		Red	Red.svg	red-icon
U+E9AD		Red, Old	Red-Old.svg	
U+EA30		Redux	Redux.svg	redux-icon
U+EAA0		Reek	Reek.svg	reek-icon
U+002A	*	RegEx	RegEx.svg	regex-icon
U+EB1D		Remark	Remark.svg	remark-icon
U+EB2D		Renovate	Renovate.svg	renovate-icon
U+EBA7		ReScript	ReScript.svg	rescript-icon
U+EBB0		restQL	restQL.svg	restql-icon
U+E9CC		reStructuredText	reStructuredText.svg	rst-icon
U+EA16		Rexx	Rexx.svg	rexx-icon
U+EA4A		Rhino3D	Rhino3D.svg	rhino-icon
U+1F48D	💍	Ring	Ring.svg	ring-icon
U+EB2E		Riot	Riot.svg	riot-icon
U+E919		Riot, Old	Riot-Old.svg	
U+EB5D		RISC-V	RISC-V.svg	
U+211B	ℛ	Rmarkdown	Rmarkdown.svg	rmarkdown-icon
U+EB0D		Robot	RobotFramework.svg	robot-icon
U+E9AC		Robot, Old	RobotFramework-Old.svg	
U+1F916	🤖	Robots	Robots.svg	robots-icon
U+EA20		Rollup	Rollup.svg	rollup-icon
U+E9FD		Rollup, Old	Rollup-Old.svg	
U+EA31		RSpec	RSpec.svg	rspec-icon
U+24C7	Ⓡ	RStudio	RStudio.svg	rstudio-icon
U+EB9E		rsync	rsync.svg	rsync-icon
U+EADE		Rubocop	Rubocop.svg	rubocop-icon
U+1F48E	💎	RubyGems	RubyGems.svg	rubygems-icon
U+203C	‼	SAC	SAC.svg	sac-icon
U+E9AB		Sage	Sage.svg	sage-icon
U+EB87		Sails	Sails.svg	sails-icon
U+E915		SaltStack	SaltStack.svg	saltstack-icon
U+EAE6		San	San.svg	san-icon
U+EBB1		Sandbox	Sandbox.svg	sandbox-icon
U+E95A		SAS	SAS.svg	sas-icon
U+E9D2		SBT	SBT.svg	sbt-icon
U+03BB	λ	Scheme	Scheme.svg	scheme-icon
U+E9A9		Scilab	Scilab.svg	scilab-icon
U+EAE2		Scilla	Scilla.svg	scilla-icon
U+00A7	§	Scratch	Scratch.svg	scratch-icon
U+E9D4		Scrutinizer	Scrutinizer.svg	scrutinizer-icon
U+E9A8		Self	Self.svg	self-icon
U+1F7CD	🟍	Semantic Release	SemanticRelease.svg	semrelease-icon
U+EB1C		Sentry	Sentry.svg	sentry-icon
U+EA2F		Sequelize	Sequelize.svg	sequelize-icon
U+EAB8		Serverless	Serverless.svg	serverless-icon
U+E9DB		Service Fabric	Service-Fabric.svg	sf-icon
U+EB88		Shadow CLJS	ShadowCLJS.svg	shadowcljs-icon
U+1F41A	🐚	ShellCheck	ShellCheck.svg	shellcheck-icon
U+E9A7		Shen	Shen.svg	shen-icon
U+26F5	⛵	Shipit	Shipit.svg	shipit-icon
U+EA2D		Shippable	Shippable.svg	shippable-icon
U+E9CF		Shopify	Shopify.svg	shopify-icon
U+272B	✫	Shuriken	Shuriken.svg	shuriken-icon
U+1F764	🝤	Sigils	Sigils.svg	sigils-icon
U+2318	⌘	SiliconGraphics	SiliconGraphics.svg	sgi-icon
U+E800		SilverStripe	SilverStripe.svg	silverstripe-icon
U+EA03		Sinatra	Sinatra.svg	
U+E927		Sketch	Sketch.svg	sketch-icon
U+EA7C		SketchUp LayOut	SketchUp-LayOut.svg	sketchup-lo-icon
U+EA7E		SketchUp Make	SketchUp-Make.svg	sketchup-mk-icon
U+EA7D		SketchUp Style Builder	SketchUp-StyleBuilder.svg	sketchup-sb-icon
U+E9A6		Slash	Slash.svg	slash-icon
U+EAFC		SmartOS	SmartOS.svg	
U+EAFB		SmartOS, Alt	SmartOS-Alt.svg	
